Timestamp,Prompt Throughput (tok/s),Generation Throughput (tok/s),Running Reqs,Waiting Reqs,KV Cache Usage (%),Prefix Cache Hit Rate (%)
09-03 15:38:54,965.2261421434478,9009.177254636605,506,0,21.918872843963097,0.0
09-03 15:39:04,1045.881300519571,8688.652406046402,506,3,21.703269153630167,0.0
09-03 15:39:14,1078.7807589900196,8434.30405657214,506,2,21.595467308463697,0.0
09-03 15:39:24,1373.5587759798375,8620.458477155358,504,3,21.211893301243485,0.0
09-03 15:39:34,1368.1713297682995,8695.57553538185,507,4,20.680405134376258,0.0
09-03 15:39:44,1122.7387577874376,9019.1947450501,505,4,20.778178900922583,0.0
09-03 15:39:54,1372.0958749783179,8048.929339317254,503,3,20.324408343361412,0.0
09-03 15:40:04,994.9254716055586,9150.235807072782,502,5,20.324408343361412,0.0
09-03 15:40:14,1055.2578338712608,8438.664095015589,503,4,20.449759326113114,0.0
09-03 15:40:24,1236.5777197791454,9214.70808144534,502,2,20.5951664661051,0.0
09-03 15:40:34,1451.1260530780585,8616.292098723525,506,3,20.484857601283597,0.0
09-03 15:40:44,291.7752753169435,9519.230830509929,491,0,20.459787404733255,0.0
09-03 15:40:54,0.0,10591.633164444269,477,0,20.527476935419177,0.0
09-03 15:41:04,386.7796413279461,9962.199947597263,457,0,19.965904532691543,0.0
09-03 15:41:14,0.0,9763.843076057365,427,0,19.050842358604093,0.0
09-03 15:41:24,0.0,9355.638111044787,409,0,18.832731648616125,0.0
09-03 15:41:34,0.0,9078.832441906476,387,0,18.343862815884474,0.0
09-03 15:41:44,0.0,8599.073127530824,363,0,17.890092258323303,0.0
09-03 15:41:54,0.0,8050.690462772199,333,0,16.97001604492579,0.0
09-03 15:42:04,0.0,7610.9363847092345,314,0,16.468612113918972,0.0
09-03 15:42:14,0.0,7172.261716907965,288,0,15.563578018451668,0.0
09-03 15:42:24,0.0,6782.941852734882,268,0,14.81899318090654,0.0
09-03 15:42:34,0.0,6451.392031249248,255,0,14.60338949057361,0.0
09-03 15:42:44,0.0,6131.474104171775,227,0,13.33985158443642,0.0
09-03 15:42:54,0.0,6234.781972336355,208,0,12.693040513437627,0.0
09-03 15:43:04,0.0,5696.258145784538,186,0,11.755415162454872,0.0
09-03 15:43:14,0.0,5174.668803730444,165,0,10.760128359406337,0.0
09-03 15:43:24,0.0,4749.181513546673,151,0,10.188527878058565,0.0
09-03 15:43:34,0.0,4204.213081993585,123,0,8.506317689530686,0.0
09-03 15:43:44,0.0,3496.8572503963846,105,0,7.4558764540714,0.0
09-03 15:43:54,0.0,3016.679478286147,87,0,6.370336943441636,0.0
